date,adjusted_price,date2,holiday_3_days,holiday,days_from_a_holiday,diff
2021-09-02,191.93326758711373,2021-09-02,True,Labor Day,4,20.03422122078686
2021-09-03,206.3491124260355,2021-09-03,True,Labor Day,3,34.45006605970863
2021-09-04,206.02728468113082,2021-09-04,True,Labor Day,2,34.12823831480395
2021-09-05,196.11111111111111,2021-09-05,True,Labor Day,1,24.212064744784243
2021-09-06,193.40368178829718,2021-09-06,True,Labor Day,0,21.504635421970306
2021-09-07,189.06508875739644,2021-09-07,True,Labor Day,-1,17.166042391069567
2021-09-08,189.72452333990796,2021-09-08,True,Labor Day,-2,17.82547697358109
2021-09-09,191.94641683103222,2021-09-09,True,Labor Day,-3,20.047370464705352
2021-09-10,201.85897435897436,2021-09-10,True,Labor Day,-4,29.959927992647494
2021-10-07,205.11012491781722,2021-10-07,True,Columbus Day,4,33.211078551490345
2021-10-08,242.24523339907955,2021-10-08,True,Columbus Day,3,70.34618703275268
2021-10-09,255.58349769888233,2021-10-09,True,Columbus Day,2,83.68445133255545
2021-10-10,245.2320841551611,2021-10-10,True,Columbus Day,1,73.33303778883422
2021-10-11,238.29421433267586,2021-10-11,True,Columbus Day,0,66.39516796634899
2021-10-12,206.19263642340565,2021-10-12,True,Columbus Day,-1,34.293590057078774
2021-10-13,195.4214332675871,2021-10-13,True,Columbus Day,-2,23.522386901260234
2021-10-14,198.44838921762,2021-10-14,True,Columbus Day,-3,26.54934285129312
2021-10-15,209.41222879684418,2021-10-15,True,Columbus Day,-4,37.513182430517304
2021-11-07,187.69362261669954,2021-11-07,True,Veterans Day,4,15.794576250372671
2021-11-08,188.595003287311,2021-11-08,True,Veterans Day,3,16.695956920984116
2021-11-09,189.14628533859303,2021-11-09,True,Veterans Day,2,17.24723897226616
2021-11-10,191.01512163050626,2021-11-10,True,Veterans Day,1,19.116075264179386
2021-11-11,198.1604207758054,2021-11-11,True,Veterans Day,0,26.26137440947852
2021-11-12,205.42209072978304,2021-11-12,True,Veterans Day,-1,33.523044363456165
2021-11-13,206.93655489809336,2021-11-13,True,Veterans Day,-2,35.03750853176649
2021-11-14,188.9500328731098,2021-11-14,True,Veterans Day,-3,17.05098650678292
2021-11-15,187.55358316896778,2021-11-15,True,Veterans Day,-4,15.654536802640905
