id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,32,20,2021-04-30,0.29,1,112
5506,**Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,145,3,107,2020-05-01,0.90,9,46
6695,Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,169,3,115,2019-11-02,1.37,9,109
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.35906,-71.06271,Entire home/apt,76,91,32,2020-04-16,0.41,5,262
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,106,29,5,2020-12-02,0.18,11,331
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,100,29,2,2016-05-23,0.03,11,314
13247,Back Bay studio apartment,51637,Susan,,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,,,2,0
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.35956,-71.0698,Private room,50,91,0,,,1,365
18711,The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,111,30,52,2019-10-05,1.00,27,221
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34487,-71.07441,Private room,148,29,316,2019-11-04,3.13,4,90
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,94,2021-05-09,0.72,1,44
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,85,7,80,2021-05-30,0.72,1,234
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,125,29,130,2019-12-10,0.98,1,154
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,7,141,2019-08-13,1.26,5,111
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,93,91,45,2021-04-30,1.02,5,237
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,28,120,2019-11-09,1.00,5,75
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,2,54,2019-11-02,2.58,1,316
163941,* SPECIAL!* 2 bed Duplex ApT! Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,275,3,228,2019-12-30,2.36,9,129
182613,Great 2BR in Boston near everything w free parking,875739,Max,,Charlestown,42.37739,-71.06199,Entire home/apt,199,91,108,2021-05-05,1.51,1,112
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,40,7,72,2021-01-16,2.01,1,97
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,60,30,49,2021-05-16,0.46,1,39
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,138,4,405,2021-07-06,3.77,2,17
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,93,3,213,2021-07-08,2.43,1,193
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,145,3,252,2021-06-10,2.33,1,52
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,264,2,351,2021-07-09,3.71,1,191
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Thatch,,Roxbury,42.33855,-71.07975,Entire home/apt,280,30,94,2021-06-05,0.88,96,0
322593,"Near Hospitals, 28 Day Bking Only,OutdoorSpace",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,90,28,409,2020-07-31,4.29,4,50
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,814298,Thatch,,Roxbury,42.33811,-71.08139,Entire home/apt,200,29,111,2019-08-04,1.22,96,0
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30066,-71.08207,Private room,60,91,24,2019-08-21,0.24,4,363
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,316,2021-07-05,3.25,1,0
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.19,1,0
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.09,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34491,-71.07368,Private room,148,29,175,2019-10-31,2.79,4,90
530983,The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,179,30,67,2019-10-29,1.12,27,134
533152,The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,101,30,57,2021-06-27,1.09,27,250
561769,The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,101,30,62,2021-05-16,0.73,27,227
568234,Stay on your own separate floor,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,109,1,278,2021-07-06,2.54,2,296
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28834,-71.05505,Private room,225,3,94,2019-10-27,1.00,1,88
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,149,91,12,2017-07-05,0.11,1,0
601763,"The Alameda 2 w/AC | 2BR 1BA w/En-Suite HdTV's | Short walk to train, shops and near Faulkner!",71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,85,30,38,2020-08-28,0.78,27,286
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,268,2,42,2021-04-21,1.17,3,318
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37828,-71.06411,Entire home/apt,175,91,168,2019-10-18,2.00,1,365
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,190,1,7,2017-09-28,0.21,1,173
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37926,-71.06364,Entire home/apt,200,2,374,2020-01-13,3.54,1,252
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30702,-71.11283,Entire home/apt,571,29,70,2020-10-05,0.97,2,305
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29239,-71.13193,Private room,25,91,5,2019-09-30,0.05,2,365
750438,"Private room, 7 min to subway, verdant & peaceful",3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,60,2,202,2020-03-01,2.30,1,68
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,2.01,1,364
766700,"Little Italy, Historic, Freedom Trail, TD Garden",3637081,Jason Or Jose,,North End,42.3657,-71.05618,Entire home/apt,151,1,502,2021-07-09,5.11,7,116
798957,"★Discounted★ NearHospitals★2floors★ 2 Baths,2beds",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,243,28,418,2020-08-01,4.30,4,0
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32795,-71.09412,Entire home/apt,157,3,57,2020-03-30,0.55,9,109
815639,"Little Italy, Historic, Freedom Trail, TD Garden",3637081,Jason Or Jose,,North End,42.36695,-71.05601,Entire home/apt,172,1,590,2021-07-09,6.43,7,105
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,359,6,78,2020-03-03,1.11,2,6
826706,Private Room in Spacious Apartment3,1997048,ToRena,,Dorchester,42.29962,-71.08212,Private room,79,91,7,2015-09-02,0.08,4,364
839265,Private Room in Spacious Apartment2,1997048,ToRena,,Dorchester,42.29961,-71.07781,Private room,61,91,26,2019-09-30,0.26,4,363
863788,"Roof deck-city views. Walk everywhere! 2BR, 2 bath",775932,Andy & Daljit,,South End,42.3451,-71.0715,Entire home/apt,425,3,10,2021-06-07,0.10,1,5
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.3665,-71.05296,Entire home/apt,145,2,449,2021-07-05,4.63,1,207
894539,Private room in house,4762495,Jennifer,,Roslindale,42.29017,-71.13169,Private room,90,30,61,2021-06-08,0.98,1,192
916123,"Little Italy Historic, Freedom Trail, TD Garden",3637081,Jason Or Jose,,North End,42.36541,-71.05404,Entire home/apt,181,1,582,2021-07-05,6.02,7,110
973695,"Boston Center, Sleeps 1 to 4 people",1760577,Claire,,Downtown,42.35888,-71.06032,Entire home/apt,257,91,60,2019-11-03,0.71,1,365
989163,"The Dalton Apartment at The Upton, South End",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,173,1,58,2021-07-11,1.67,7,127
990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,1651480,Edward,,South End,42.34232,-71.07595,Private room,109,29,293,2020-03-10,3.54,4,97
